time,vehid,x,y,z,speed
2.00,veh21,-15703.50,3.50,0.50,23.25
2.00,veh22,-16453.00,0.00,0.50,23.50
2.00,veh23,-17202.50,3.50,0.50,23.75
2.00,veh24,-17952.00,0.00,0.50,24.00
2.00,veh25,-18701.50,3.50,0.50,24.25
2.00,veh26,-19451.00,0.00,0.50,24.50
2.00,veh27,-20200.50,3.50,0.50,24.75
2.00,veh28,-20950.00,0.00,0.50,25.00
2.00,veh29,-21699.50,3.50,0.50,25.25
2.00,veh30,-22449.00,0.00,0.50,25.50
2.00,veh31,-23198.50,3.50,0.50,25.75
2.00,veh32,-23948.00,0.00,0.50,26.00
2.00,veh33,-24697.50,3.50,0.50,26.25
2.00,veh34,-25447.00,0.00,0.50,26.50
2.00,veh35,-26196.50,3.50,0.50,26.75
2.00,veh36,-26946.00,0.00,0.50,27.00
2.00,veh37,-27695.50,3.50,0.50,27.25
2.00,veh38,-28445.00,0.00,0.50,27.50
2.00,veh39,-29194.50,3.50,0.50,27.75
3.00,veh0,54.00,0.00,0.50,18.00
3.00,veh1,-695.25,3.50,0.50,18.25
3.00,veh2,-1444.50,0.00,0.50,18.50
3.00,veh3,-2193.75,3.50,0.50,18.75
3.00,veh4,-2943.00,0.00,0.50,19.00
3.00,veh5,-3692.25,3.50,0.50,19.25
3.00,veh6,-4441.50,0.00,0.50,19.50
3.00,veh7,-5190.75,3.50,0.50,19.75
3.00,veh8,-5940.00,0.00,0.50,20.00
3.00,veh9,-6689.25,3.50,0.50,20.25
3.00,veh10,-7438.50,0.00,0.50,20.50
3.00,veh11,-8187.75,3.50,0.50,20.75
3.00,veh12,-8937.00,0.00,0.50,21.00
3.00,veh13,-9686.25,3.50,0.50,21.25
3.00,veh14,-10435.50,0.00,0.50,21.50
3.00,veh15,-11184.75,3.50,0.50,21.75
3.00,veh16,-11934.00,0.00,0.50,22.00
3.00,veh17,-12683.25,3.50,0.50,22.25
3.00,veh18,-13432.50,0.00,0.50,22.50
3.00,veh19,-14181.75,3.50,0.50,22.75
3.00,veh20,-14931.00,0.00,0.50,23.00
3.00,veh21,-15680.25,3.50,0.50,23.25
3.00,veh22,-16429.50,0.00,0.50,23.50
3.00,veh23,-17178.75,3.50,0.50,23.75
3.00,veh24,-17928.00,0.00,0.50,24.00
3.00,veh25,-18677.25,3.50,0.50,24.25
3.00,veh26,-19426.50,0.00,0.50,24.50
3.00,veh27,-20175.75,3.50,0.50,24.75
3.00,veh28,-20925.00,0.00,0.50,25.00
3.00,veh29,-21674.25,3.50,0.50,25.25
3.00,veh30,-22423.50,0.00,0.50,25.50
3.00,veh31,-23172.75,3.50,0.50,25.75
3.00,veh32,-23922.00,0.00,0.50,26.00
3.00,veh33,-24671.25,3.50,0.50,26.25
3.00,veh34,-25420.50,0.00,0.50,26.50
3.00,veh35,-26169.75,3.50,0.50,26.75
3.00,veh36,-26919.00,0.00,0.50,27.00
3.00,veh37,-27668.25,3.50,0.50,27.25
3.00,veh38,-28417.50,0.00,0.50,27.50
3.00,veh39,-29166.75,3.50,0.50,27.75
4.00,veh0,72.00,0.00,0.50,18.00
4.00,veh1,-677.00,3.50,0.50,18.25
4.00,veh2,-1426.00,0.00,0.50,18.50
4.00,veh3,-2175.00,3.50,0.50,18.75
4.00,veh4,-2924.00,0.00,0.50,19.00
4.00,veh5,-3673.00,3.50,0.50,19.25
4.00,veh6,-4422.00,0.00,0.50,19.50
4.00,veh7,-5171.00,3.50,0.50,19.75
4.00,veh8,-5920.00,0.00,0.50,20.00
4.00,veh9,-6669.00,3.50,0.50,20.25
4.00,veh10,-7418.00,0.00,0.50,20.50
4.00,veh11,-8167.00,3.50,0.50,20.75
4.00,veh12,-8916.00,0.00,0.50,21.00
4.00,veh13,-9665.00,3.50,0.50,21.25
4.00,veh14,-10414.00,0.00,0.50,21.50
4.00,veh15,-11163.00,3.50,0.50,21.75
4.00,veh16,-11912.00,0.00,0.50,22.00
4.00,veh17,-12661.00,3.50,0.50,22.25
4.00,veh18,-13410.00,0.00,0.50,22.50
4.00,veh19,-14159.00,3.50,0.50,22.75
4.00,veh20,-14908.00,0.00,0.50,23.00
4.00,veh21,-15657.00,3.50,0.50,23.25
4.00,veh22,-16406.00,0.00,0.50,23.50
4.00,veh23,-17155.00,3.50,0.50,23.75
4.00,veh24,-17904.00,0.00,0.50,24.00
4.00,veh25,-18653.00,3.50,0.50,24.25
4.00,veh26,-19402.00,0.00,0.50,24.50
4.00,veh27,-20151.00,3.50,0.50,24.75
4.00,veh28,-20900.00,0.00,0.50,25.00
4.00,veh29,-21649.00,3.50,0.50,25.25
4.00,veh30,-22398.00,0.00,0.50,25.50
4.00,veh31,-23147.00,3.50,0.50,25.75
4.00,veh32,-23896.00,0.00,0.50,26.00
4.00,veh33,-24645.00,3.50,0.50,26.25
4.00,veh34,-25394.00,0.00,0.50,26.50
4.00,veh35,-26143.00,3.50,0.50,26.75
4.00,veh36,-26892.00,0.00,0.50,27.00
4.00,veh37,-27641.00,3.50,0.50,27.25
4.00,veh38,-28390.00,0.00,0.50,27.50
4.00,veh39,-29139.00,3.50,0.50,27.75
5.00,veh0,90.00,0.00,0.50,18.00
5.00,veh1,-658.75,3.50,0.50,18.25
5.00,veh2,-1407.50,0.00,0.50,18.50
5.00,veh3,-2156.25,3.50,0.50,18.75
5.00,veh4,-2905.00,0.00,0.50,19.00
5.00,veh5,-3653.75,3.50,0.50,19.25
5.00,veh6,-4402.50,0.00,0.50,19.50
5.00,veh7,-5151.25,3.50,0.50,19.75
5.00,veh8,-5900.00,0.00,0.50,20.00
5.00,veh9,-6648.75,3.50,0.50,20.25
5.00,veh10,-7397.50,0.00,0.50,20.50
5.00,veh11,-8146.25,3.50,0.50,20.75
5.00,veh12,-8895.00,0.00,0.50,21.00
5.00,veh13,-9643.75,3.50,0.50,21.25
5.00,veh14,-10392.50,0.00,0.50,21.50
5.00,veh15,-11141.25,3.50,0.50,21.75
5.00,veh16,-11890.00,0.00,0.50,22.00
5.00,veh17,-12638.75,3.50,0.50,22.25
5.00,veh18,-13387.50,0.00,0.50,22.50
5.00,veh19,-14136.25,3.50,0.50,22.75
5.00,veh20,-14885.00,0.00,0.50,23.00
5.00,veh21,-15633.75,3.50,0.50,23.25
5.00,veh22,-16382.50,0.00,0.50,23.50
5.00,veh23,-17131.25,3.50,0.50,23.75
5.00,veh24,-17880.00,0.00,0.50,24.00
5.00,veh25,-18628.75,3.50,0.50,24.25
5.00,veh26,-19377.50,0.00,0.50,24.50
5.00,veh27,-20126.25,3.50,0.50,24.75
5.00,veh28,-20875.00,0.00,0.50,25.00
5.00,veh29,-21623.75,3.50,0.50,25.25
5.00,veh30,-22372.50,0.00,0.50,25.50
5.00,veh31,-23121.25,3.50,0.50,25.75
5.00,veh32,-23870.00,0.00,0.50,26.00
5.00,veh33,-24618.75,3.50,0.50,26.25
5.00,veh34,-25367.50,0.00,0.50,26.50
5.00,veh35,-26116.25,3.50,0.50,26.75
5.00,veh36,-26865.00,0.00,0.50,27.00
5.00,veh37,-27613.75,3.50,0.50,27.25
5.00,veh38,-28362.50,0.00,0.50,27.50
5.00,veh39,-29111.25,3.50,0.50,27.75
6.00,veh0,108.00,0.00,0.50,18.00
6.00,veh1,-640.50,3.50,0.50,18.25
6.00,veh2,-1389.00,0.00,0.50,18.50
6.00,veh3,-2137.50,3.50,0.50,18.75
6.00,veh4,-2886.00,0.00,0.50,19.00
6.00,veh5,-3634.50,3.50,0.50,19.25
6.00,veh6,-4383.00,0.00,0.50,19.50
6.00,veh7,-5131.50,3.50,0.50,19.75
6.00,veh8,-5880.00,0.00,0.50,20.00
6.00,veh9,-6628.50,3.50,0.50,20.25
6.00,veh10,-7377.00,0.00,0.50,20.50
6.00,veh11,-8125.50,3.50,0.50,20.75
6.00,veh12,-8874.00,0.00,0.50,21.00
6.00,veh13,-9622.50,3.50,0.50,21.25
6.00,veh14,-10371.00,0.00,0.50,21.50
6.00,veh15,-11119.50,3.50,0.50,21.75
6.00,veh16,-11868.00,0.00,0.50,22.00
6.00,veh17,-12616.50,3.50,0.50,22.25
6.00,veh18,-13365.00,0.00,0.50,22.50
6.00,veh19,-14113.50,3.50,0.50,22.75
6.00,veh20,-14862.00,0.00,0.50,23.00
6.00,veh21,-15610.50,3.50,0.50,23.25
6.00,veh22,-16359.00,0.00,0.50,23.50
6.00,veh23,-17107.50,3.50,0.50,23.75
6.00,veh24,-17856.00,0.00,0.50,24.00
6.00,veh25,-18604.50,3.50,0.50,24.25
6.00,veh26,-19353.00,0.00,0.50,24.50
6.00,veh27,-20101.50,3.50,0.50,24.75
6.00,veh28,-20850.00,0.00,0.50,25.00
6.00,veh29,-21598.50,3.50,0.50,25.25
6.00,veh30,-22347.00,0.00,0.50,25.50
6.00,veh31,-23095.50,3.50,0.50,25.75
6.00,veh32,-23844.00,0.00,0.50,26.00
6.00,veh33,-24592.50,3.50,0.50,26.25
6.00,veh34,-25341.00,0.00,0.50,26.50
6.00,veh35,-26089.50,3.50,0.50,26.75
6.00,veh36,-26838.00,0.00,0.50,27.00
6.00,veh37,-27586.50,3.50,0.50,27.25
6.00,veh38,-28335.00,0.00,0.50,27.50
6.00,veh39,-29083.50,3.50,0.50,27.75
7.00,veh0,126.00,0.00,0.50,18.00
7.00,veh1,-622.25,3.50,0.50,18.25
7.00,veh2,-1370.50,0.00,0.50,18.50
7.00,veh3,-2118.75,3.50,0.50,18.75
7.00,veh4,-2867.00,0.00,0.50,19.00
7.00,veh5,-3615.25,3.50,0.50,19.25
7.00,veh6,-4363.50,0.00,0.50,19.50
7.00,veh7,-5111.75,3.50,0.50,19.75
7.00,veh8,-5860.00,0.00,0.50,20.00
7.00,veh9,-6608.25,3.50,0.50,20.25
7.00,veh10,-7356.50,0.00,0.50,20.50
7.00,veh11,-8104.75,3.50,0.50,20.75
7.00,veh12,-8853.00,0.00,0.50,21.00
7.00,veh13,-9601.25,3.50,0.50,21.25
7.00,veh14,-10349.50,0.00,0.50,21.50
7.00,veh15,-11097.75,3.50,0.50,21.75
7.00,veh16,-11846.00,0.00,0.50,22.00
7.00,veh17,-12594.25,3.50,0.50,22.25
7.00,veh18,-13342.50,0.00,0.50,22.50
7.00,veh19,-14090.75,3.50,0.50,22.75
7.00,veh20,-14839.00,0.00,0.50,23.00
7.00,veh21,-15587.25,3.50,0.50,23.25
7.00,veh22,-16335.50,0.00,0.50,23.50
7.00,veh23,-17083.75,3.50,0.50,23.75
7.00,veh24,-17832.00,0.00,0.50,24.00
7.00,veh25,-18580.25,3.50,0.50,24.25
7.00,veh26,-19328.50,0.00,0.50,24.50
7.00,veh27,-20076.75,3.50,0.50,24.75
7.00,veh28,-20825.00,0.00,0.50,25.00
7.00,veh29,-21573.25,3.50,0.50,25.25
7.00,veh30,-22321.50,0.00,0.50,25.50
7.00,veh31,-23069.75,3.50,0.50,25.75
7.00,veh32,-23818.00,0.00,0.50,26.00
7.00,veh33,-24566.25,3.50,0.50,26.25
7.00,veh34,-25314.50,0.00,0.50,26.50
7.00,veh35,-26062.75,3.50,0.50,26.75
7.00,veh36,-26811.00,0.00,0.50,27.00
7.00,veh37,-27559.25,3.50,0.50,27.25
7.00,veh38,-28307.50,0.00,0.50,27.50
7.00,veh39,-29055.75,3.50,0.50,27.75
8.00,veh0,144.00,0.00,0.50,18.00
8.00,veh1,-604.00,3.50,0.50,18.25
8.00,veh2,-1352.00,0.00,0.50,18.50
8.00,veh3,-2100.00,3.50,0.50,18.75
8.00,veh4,-2848.00,0.00,0.50,19.00
8.00,veh5,-3596.00,3.50,0.50,19.25
8.00,veh6,-4344.00,0.00,0.50,19.50
8.00,veh7,-5092.00,3.50,0.50,19.75
8.00,veh8,-5840.00,0.00,0.50,20.00
8.00,veh9,-6588.00,3.50,0.50,20.25
8.00,veh10,-7336.00,0.00,0.50,20.50
8.00,veh11,-8084.00,3.50,0.50,20.75
8.00,veh12,-8832.00,0.00,0.50,21.00
8.00,veh13,-9580.00,3.50,0.50,21.25
8.00,veh14,-10328.00,0.00,0.50,21.50
8.00,veh15,-11076.00,3.50,0.50,21.75
8.00,veh16,-11824.00,0.00,0.50,22.00
8.00,veh17,-12572.00,3.50,0.50,22.25
8.00,veh18,-13320.00,0.00,0.50,22.50
8.00,veh19,-14068.00,3.50,0.50,22.75
8.00,veh20,-14816.00,0.00,0.50,23.00
8.00,veh21,-15564.00,3.50,0.50,23.25
8.00,veh22,-16312.00,0.00,0.50,23.50
8.00,veh23,-17060.00,3.50,0.50,23.75
8.00,veh24,-17808.00,0.00,0.50,24.00
8.00,veh25,-18556.00,3.50,0.50,24.25
8.00,veh26,-19304.00,0.00,0.50,24.50
8.00,veh27,-20052.00,3.50,0.50,24.75
8.00,veh28,-20800.00,0.00,0.50,25.00
8.00,veh29,-21548.00,3.50,0.50,25.25
8.00,veh30,-22296.00,0.00,0.50,25.50
8.00,veh31,-23044.00,3.50,0.50,25.75
8.00,veh32,-23792.00,0.00,0.50,26.00
8.00,veh33,-24540.00,3.50,0.50,26.25
8.00,veh34,-25288.00,0.00,0.50,26.50
8.00,veh35,-26036.00,3.50,0.50,26.75
8.00,veh36,-26784.00,0.00,0.50,27.00
8.00,veh37,-27532.00,3.50,0.50,27.25
8.00,veh38,-28280.00,0.00,0.50,27.50
8.00,veh39,-29028.00,3.50,0.50,27.75
9.00,veh0,162.00,0.00,0.50,18.00
9.00,veh1,-585.75,3.50,0.50,18.25
9.00,veh2,-1333.50,0.00,0.50,18.50
9.00,veh3,-2081.25,3.50,0.50,18.75
9.00,veh4,-2829.00,0.00,0.50,19.00
9.00,veh5,-3576.75,3.50,0.50,19.25
9.00,veh6,-4324.50,0.00,0.50,19.50
9.00,veh7,-5072.25,3.50,0.50,19.75
9.00,veh8,-5820.00,0.00,0.50,20.00
9.00,veh9,-6567.75,3.50,0.50,20.25
9.00,veh10,-7315.50,0.00,0.50,20.50
9.00,veh11,-8063.25,3.50,0.50,20.75
9.00,veh12,-8811.00,0.00,0.50,21.00
9.00,veh13,-9558.75,3.50,0.50,21.25
9.00,veh14,-10306.50,0.00,0.50,21.50
9.00,veh15,-11054.25,3.50,0.50,21.75
9.00,veh16,-11802.00,0.00,0.50,22.00
9.00,veh17,-12549.75,3.50,0.50,22.25
9.00,veh18,-13297.50,0.00,0.50,22.50
9.00,veh19,-14045.25,3.50,0.50,22.75
9.00,veh20,-14793.00,0.00,0.50,23.00
9.00,veh21,-15540.75,3.50,0.50,23.25
9.00,veh22,-16288.50,0.00,0.50,23.50
9.00,veh23,-17036.25,3.50,0.50,23.75
9.00,veh24,-17784.00,0.00,0.50,24.00
9.00,veh25,-18531.75,3.50,0.50,24.25
9.00,veh26,-19279.50,0.00,0.50,24.50
9.00,veh27,-20027.25,3.50,0.50,24.75
9.00,veh28,-20775.00,0.00,0.50,25.00
9.00,veh29,-21522.75,3.50,0.50,25.25
9.00,veh30,-22270.50,0.00,0.50,25.50
9.00,veh31,-23018.25,3.50,0.50,25.75
9.00,veh32,-23766.00,0.00,0.50,26.00
9.00,veh33,-24513.75,3.50,0.50,26.25
9.00,veh34,-25261.50,0.00,0.50,26.50
9.00,veh35,-26009.25,3.50,0.50,26.75
9.00,veh36,-26757.00,0.00,0.50,27.00
9.00,veh37,-27504.75,3.50,0.50,27.25
9.00,veh38,-28252.50,0.00,0.50,27.50
9.00,veh39,-29000.25,3.50,0.50,27.75
10.00,veh0,180.00,0.00,0.50,18.00
10.00,veh1,-567.50,3.50,0.50,18.25
10.00,veh2,-1315.00,0.00,0.50,18.50
10.00,veh3,-2062.50,3.50,0.50,18.75
10.00,veh4,-2810.00,0.00,0.50,19.00
10.00,veh5,-3557.50,3.50,0.50,19.25
10.00,veh6,-4305.00,0.00,0.50,19.50
10.00,veh7,-5052.50,3.50,0.50,19.75
10.00,veh8,-5800.00,0.00,0.50,20.00
10.00,veh9,-6547.50,3.50,0.50,20.25
10.00,veh10,-7295.00,0.00,0.50,20.50
10.00,veh11,-8042.50,3.50,0.50,20.75
10.00,veh12,-8790.00,0.00,0.50,21.00
10.00,veh13,-9537.50,3.50,0.50,21.25
10.00,veh14,-10285.00,0.00,0.50,21.50
10.00,veh15,-11032.50,3.50,0.50,21.75
10.00,veh16,-11780.00,0.00,0.50,22.00
10.00,veh17,-12527.50,3.50,0.50,22.25
10.00,veh18,-13275.00,0.00,0.50,22.50
10.00,veh19,-14022.50,3.50,0.50,22.75
10.00,veh20,-14770.00,0.00,0.50,23.00
10.00,veh21,-15517.50,3.50,0.50,23.25
10.00,veh22,-16265.00,0.00,0.50,23.50
10.00,veh23,-17012.50,3.50,0.50,23.75
10.00,veh24,-17760.00,0.00,0.50,24.00
10.00,veh25,-18507.50,3.50,0.50,24.25
10.00,veh26,-19255.00,0.00,0.50,24.50
10.00,veh27,-20002.50,3.50,0.50,24.75
10.00,veh28,-20750.00,0.00,0.50,25.00
10.00,veh29,-21497.50,3.50,0.50,25.25
10.00,veh30,-22245.00,0.00,0.50,25.50
10.00,veh31,-22992.50,3.50,0.50,25.75
10.00,veh32,-23740.00,0.00,0.50,26.00
10.00,veh33,-24487.50,3.50,0.50,26.25
10.00,veh34,-25235.00,0.00,0.50,26.50
10.00,veh35,-25982.50,3.50,0.50,26.75
10.00,veh36,-26730.00,0.00,0.50,27.00
10.00,veh37,-27477.50,3.50,0.50,27.25
10.00,veh38,-28225.00,0.00,0.50,27.50
10.00,veh39,-28972.50,3.50,0.50,27.75
11.00,veh0,198.00,0.00,0.50,18.00
11.00,veh1,-549.25,3.50,0.50,18.25
11.00,veh2,-1296.50,0.00,0.50,18.50
11.00,veh3,-2043.75,3.50,0.50,18.75
11.00,veh4,-2791.00,0.00,0.50,19.00
11.00,veh5,-3538.25,3.50,0.50,19.25
11.00,veh6,-4285.50,0.00,0.50,19.50
11.00,veh7,-5032.75,3.50,0.50,19.75
11.00,veh8,-5780.00,0.00,0.50,20.00
11.00,veh9,-6527.25,3.50,0.50,20.25
11.00,veh10,-7274.50,0.00,0.50,20.50
11.00,veh11,-8021.75,3.50,0.50,20.75
11.00,veh12,-8769.00,0.00,0.50,21.00
11.00,veh13,-9516.25,3.50,0.50,21.25
11.00,veh14,-10263.50,0.00,0.50,21.50
11.00,veh15,-11010.75,3.50,0.50,21.75
11.00,veh16,-11758.00,0.00,0.50,22.00
11.00,veh17,-12505.25,3.50,0.50,22.25
11.00,veh18,-13252.50,0.00,0.50,22.50
11.00,veh19,-13999.75,3.50,0.50,22.75
11.00,veh20,-14747.00,0.00,0.50,23.00
11.00,veh21,-15494.25,3.50,0.50,23.25
11.00,veh22,-16241.50,0.00,0.50,23.50
11.00,veh23,-16988.75,3.50,0.50,23.75
11.00,veh24,-17736.00,0.00,0.50,24.00
11.00,veh25,-18483.25,3.50,0.50,24.25
11.00,veh26,-19230.50,0.00,0.50,24.50
11.00,veh27,-19977.75,3.50,0.50,24.75
11.00,veh28,-20725.00,0.00,0.50,25.00
11.00,veh29,-21472.25,3.50,0.50,25.25
11.00,veh30,-22219.50,0.00,0.50,25.50
11.00,veh31,-22966.75,3.50,0.50,25.75
11.00,veh32,-23714.00,0.00,0.50,26.00
11.00,veh33,-24461.25,3.50,0.50,26.25
11.00,veh34,-25208.50,0.00,0.50,26.50
11.00,veh35,-25955.75,3.50,0.50,26.75
11.00,veh36,-26703.00,0.00,0.50,27.00
11.00,veh37,-27450.25,3.50,0.50,27.25
11.00,veh38,-28197.50,0.00,0.50,27.50
11.00,veh39,-28944.75,3.50,0.50,27.75
12.00,veh0,216.00,0.00,0.50,18.00
12.00,veh1,-531.00,3.50,0.50,18.25
12.00,veh2,-1278.00,0.00,0.50,18.50
12.00,veh3,-2025.00,3.50,0.50,18.75
12.00,veh4,-2772.00,0.00,0.50,19.00
12.00,veh5,-3519.00,3.50,0.50,19.25
12.00,veh6,-4266.00,0.00,0.50,19.50
12.00,veh7,-5013.00,3.50,0.50,19.75
12.00,veh8,-5760.00,0.00,0.50,20.00
12.00,veh9,-6507.00,3.50,0.50,20.25
12.00,veh10,-7254.00,0.00,0.50,20.50
12.00,veh11,-8001.00,3.50,0.50,20.75
12.00,veh12,-8748.00,0.00,0.50,21.00
12.00,veh13,-9495.00,3.50,0.50,21.25
12.00,veh14,-10242.00,0.00,0.50,21.50
12.00,veh15,-10989.00,3.50,0.50,21.75
12.00,veh16,-11736.00,0.00,0.50,22.00
12.00,veh17,-12483.00,3.50,0.50,22.25
12.00,veh18,-13230.00,0.00,0.50,22.50
12.00,veh19,-13977.00,3.50,0.50,22.75
12.00,veh20,-14724.00,0.00,0.50,23.00
12.00,veh21,-15471.00,3.50,0.50,23.25
12.00,veh22,-16218.00,0.00,0.50,23.50
12.00,veh23,-16965.00,3.50,0.50,23.75
12.00,veh24,-17712.00,0.00,0.50,24.00
12.00,veh25,-18459.00,3.50,0.50,24.25
12.00,veh26,-19206.00,0.00,0.50,24.50
12.00,veh27,-19953.00,3.50,0.50,24.75
12.00,veh28,-20700.00,0.00,0.50,25.00
12.00,veh29,-21447.00,3.50,0.50,25.25
12.00,veh30,-22194.00,0.00,0.50,25.50
12.00,veh31,-22941.00,3.50,0.50,25.75
12.00,veh32,-23688.00,0.00,0.50,26.00
12.00,veh33,-24435.00,3.50,0.50,26.25
12.00,veh34,-25182.00,0.00,0.50,26.50
12.00,veh35,-25929.00,3.50,0.50,26.75
12.00,veh36,-26676.00,0.00,0.50,27.00
12.00,veh37,-27423.00,3.50,0.50,27.25
12.00,veh38,-28170.00,0.00,0.50,27.50
12.00,veh39,-28917.00,3.50,0.50,27.75
13.00,veh0,234.00,0.00,0.50,18.00
13.00,veh1,-512.75,3.50,0.50,18.25
13.00,veh2,-1259.50,0.00,0.50,18.50
13.00,veh3,-2006.25,3.50,0.50,18.75
13.00,veh4,-2753.00,0.00,0.50,19.00
13.00,veh5,-3499.75,3.50,0.50,19.25
13.00,veh6,-4246.50,0.00,0.50,19.50
13.00,veh7,-4993.25,3.50,0.50,19.75
13.00,veh8,-5740.00,0.00,0.50,20.00
13.00,veh9,-6486.75,3.50,0.50,20.25
13.00,veh10,-7233.50,0.00,0.50,20.50
13.00,veh11,-7980.25,3.50,0.50,20.75
13.00,veh12,-8727.00,0.00,0.50,21.00
13.00,veh13,-9473.75,3.50,0.50,21.25
13.00,veh14,-10220.50,0.00,0.50,21.50
13.00,veh15,-10967.25,3.50,0.50,21.75
13.00,veh16,-11714.00,0.00,0.50,22.00
13.00,veh17,-12460.75,3.50,0.50,22.25
